,Title,Release Year,Genre,IMDb Page Link
752,2 Guns,(2013),"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt1272878/
753,211,(2018),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt4976192/
754,The Counselor,(2013),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt2193215/
755,Peter Gunn,(1958–1961),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0051301/
756,A Scanner Darkly,(2006),"
Animation, Crime, Drama            ",http://www.imdb.com/title/tt0405296/
757,The Pink Panther,(2006),"
Adventure, Comedy, Crime            ",http://www.imdb.com/title/tt0383216/
758,The Many Saints of Newark,(2020),"
Crime, Drama            ",http://www.imdb.com/title/tt8110232/
759,Wild at Heart,(1990),"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt0100935/
760,The Iceman,(2012),"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt1491044/
761,Bordertown,(2016– ),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt4937942/
762,Tidelands,(2018– ),"
Crime, Drama, Fantasy            ",http://www.imdb.com/title/tt6898970/
763,Hatsukoi,(2019),"
Comedy, Crime, Romance            ",http://www.imdb.com/title/tt10228168/
764,Waco,(2018),"
Crime, Drama, History            ",http://www.imdb.com/title/tt6040674/
765,Knight Rider,(1982–1986),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0083437/
766,Jack Taylor,(I) (2010),"
Crime, Drama            ",http://www.imdb.com/title/tt6954652/
767,Need for Speed,(2014),"
Action, Crime, Thriller            ",http://www.imdb.com/title/tt2369135/
768,Menace II Society,(1993),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt0107554/
769,Grosse Pointe Blank,(1997),"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt0119229/
770,The Avengers,(1961–1969),"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt0054518/
771,Killing Them Softly,(2012),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt1764234/
772,Journal 64,(2018),"
Crime, Mystery, Thriller            ",http://www.imdb.com/title/tt6916362/
773,Edge of Darkness,(2010),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt1226273/
774,Magamuni,(2019),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt10370932/
775,In the Heat of the Night,(1967),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0061811/
776,Bullitt,(1968),"
Action, Crime, Thriller            ",http://www.imdb.com/title/tt0062765/
777,The Heat,(I) (2013),"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt2404463/
778,The Rover,(2014),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt2345737/
779,Death on the Nile,(2020),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt7657566/
780,Godfather of Harlem,(2019– ),"
Crime, Drama            ",http://www.imdb.com/title/tt8080122/
781,Sister Act,(1992),"
Comedy, Crime, Family            ",http://www.imdb.com/title/tt0105417/
782,Lord of War,(2005),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0399295/
783,Crypto,(2019),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt8563452/
784,Damages,(2007–2012),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0914387/
785,Solace,(II) (2015),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt1291570/
786,Brick,(2005),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0393109/
787,Wyatt Earp,(1994),"
Adventure, Biography, Crime            ",http://www.imdb.com/title/tt0111756/
788,American Animals,(2018),"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt6212478/
789,The Score,(2001),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt0227445/
790,Speed Kills,(2018),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt6749318/
791,Las Vegas,(2003–2008),"
Crime, Drama            ",http://www.imdb.com/title/tt0364828/
792,Exposed,(III) (2016),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt4019560/
793,Making a Murderer,(2015– ),"
Documentary, Crime            ",http://www.imdb.com/title/tt5189670/
794,The Tax Collector,(2019),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt8461224/
795,The Rockford Files,(1974–1980),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0071042/
796,Mother,(2009),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt1216496/
797,Killer Joe,(2011),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt1726669/
798,Ratsasan,(2018),"
Action, Crime, Thriller            ",http://www.imdb.com/title/tt7060344/
799,Revenge,(I) (1990),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0100485/
800,Wild Card,(2015),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt2231253/
801,Spy Game,(2001),"
Action, Crime, Thriller            ",http://www.imdb.com/title/tt0266987/
802,Marshall,(2017),"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt5301662/
803,The Eiger Sanction,(1975),"
Action, Crime, Thriller            ",http://www.imdb.com/title/tt0072926/
804,Hudson & Rex,(2019– ),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt9111220/
805,The Outsider,(I) (2018),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt2011311/
806,Bound,(1996),"
Crime, Romance, Thriller            ",http://www.imdb.com/title/tt0115736/
807,Going in Style,(2017),"
Comedy, Crime            ",http://www.imdb.com/title/tt2568862/
808,Seven Seconds,(2018),"
Crime, Drama            ",http://www.imdb.com/title/tt6297682/
809,A Most Violent Year,(2014),"
Crime, Drama, Thriller            ",http://www.imdb.com/title/tt2937898/
810,The Last Boy Scout,(1991),"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt0102266/
811,No Way Out,(1987),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt0093640/
812,Blindspotting,(2018),"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt7242142/
813,A Touch of Frost,(1992–2010),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0108967/
814,Gangs of Wasseypur,(2012),"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt1954470/
815,Into the Blue,(2005),"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt0378109/
816,Kill the Messenger,(2014),"
Biography, Crime, Drama            ",http://www.imdb.com/title/tt1216491/
817,Vengeance: A Love Story,(2017),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt5460530/
818,Grâce à Dieu,(2018),"
Crime, Drama            ",http://www.imdb.com/title/tt8095860/
819,In Plain Sight,(2008–2012),"
Crime, Drama, Mystery            ",http://www.imdb.com/title/tt0935095/
820,Kill List,(2011),"
Crime, Drama, Horror            ",http://www.imdb.com/title/tt1788391/
821,Out of the Furnace,(2013),"
Action, Crime, Drama            ",http://www.imdb.com/title/tt1206543/
